Id,Time,Lat,Lng,Temperature,Humidity,Pm2.5,Pm10,Pm1,Co2,Co,Hcho,Tvoc
74DA388FF5DE,2018-07-13 11:03:45,25.219304,25.219304,31,100,1,0,0,0,0,0,0
74DA388FF5E6,2018-07-13 11:02:49,25.015144,25.015144,29.62,79,1,0,0,0,0,0,0
74DA388FF5E8,2018-07-13 11:03:43,25.223223,25.223223,30,91,0,0,0,0,0,0,0
74DA388FF5EE,2018-07-13 11:04:08,25.071774,25.071774,29.62,72,2,0,0,0,0,0,0
74DA388FF5F2,2018-07-13 11:00:34,25.079315,25.079315,30.5,100,0,0,0,0,0,0,0
74DA388FF5FE,2018-07-13 11:01:02,24.939053,24.939053,31,100,8,0,0,0,0,0,0
74DA388FF600,2018-07-13 11:02:53,25.066498,25.066498,31.25,80,0,0,0,0,0,0,0
74DA388FF602,2018-07-13 11:02:15,24.940728,24.940728,30,86,9,0,0,0,0,0,0
74DA388FF604,2018-07-13 11:01:28,25.062874,25.062874,33.37,77,53,0,0,0,0,0,0
74DA388FF606,2018-07-13 11:00:52,25.068806,25.068806,31.12,100,0,0,0,0,0,0,0
74DA388FF608,2018-07-13 11:01:55,25.102,25.102,27.87,100,1,0,0,0,0,0,0
74DA388FF60A,2018-07-13 11:03:37,25.066957,25.066957,29.5,71,0,0,0,0,0,0,0
74DA388FF60E,2018-07-13 11:04:46,25.065941,25.065941,33.25,100,0,0,0,0,0,0,0
74DA388FF61C,2018-07-13 11:01:25,25.112989,25.112989,28.87,100,0,0,0,0,0,0,0
74DA388FF61E,2018-07-13 11:01:25,25.023148,25.023148,32,87,2,0,0,0,0,0,0
74DA388FF620,2018-07-13 11:03:13,25.121881,25.121881,30.62,100,0,0,0,0,0,0,0
74DA388FF624,2018-07-13 11:02:39,25.120495,25.120495,28.75,100,0,0,0,0,0,0,0
74DA388FF626,2018-07-13 11:05:41,25.111660,25.111660,28.75,100,1,0,0,0,0,0,0
74DA388FF628,2018-07-13 11:00:08,24.927828,24.927828,33.25,100,12,0,0,0,0,0,0
74DA388FF62C,2018-07-13 11:05:28,24.939053,24.939053,31,68,5,0,0,0,0,0,0
74DA388FF62E,2018-07-13 11:03:29,25.035975,25.035975,27.87,100,1,0,0,0,0,0,0
74DA388FF630,2018-07-13 11:02:54,24.926641,24.926641,41.5,75,14,0,0,0,0,0,0
74DA388FF636,2018-07-13 11:04:22,25.018288,25.018288,28,100,0,0,0,0,0,0,0
74DA388FF638,2018-07-13 11:06:20,25.110821,25.110821,30,100,0,0,0,0,0,0,0
74DA388FF63A,2018-07-13 11:01:13,24.999706,24.999706,30.87,84,2,0,0,0,0,0,0
74DA388FF644,2018-07-13 11:00:23,24.989218,24.989218,30.25,70,1,0,0,0,0,0,0
74DA388FF65A,2018-07-13 11:04:25,23.4950,23.4950,35.87,60,33,0,0,0,0,0,0
74DA388FF66A,2018-07-13 11:00:46,24.997534,24.997534,32,74,6,0,0,0,0,0,0
74DA388FF66E,2018-07-13 11:03:21,25.006701,25.006701,31.12,74,0,0,0,0,0,0,0
74DA388FF674,2018-07-13 11:03:43,25.069990,25.069990,31.12,100,2,0,0,0,0,0,0
74DA388FF67C,2018-07-13 11:00:12,25.056471,25.056471,30.5,68,4,0,0,0,0,0,0
74DA388FF680,2018-07-13 11:01:17,25.066668,25.066668,32.37,88,0,0,0,0,0,0,0
74DA388FF682,2018-07-13 11:04:12,25.086639,25.086639,31,88,3,0,0,0,0,0,0
74DA388FF684,2018-07-13 11:04:44,25.077044,25.077044,31.12,69,2,0,0,0,0,0,0
74DA388FF68C,2018-07-13 11:03:50,25.065697,25.065697,32.75,86,2,0,0,0,0,0,0
74DA388FF68E,2018-07-13 11:02:57,25.076380,25.076380,32.25,86,4,0,0,0,0,0,0
74DA388FF690,2018-07-13 11:05:23,25.082,25.082,31.62,70,3,3,2,0,0,0,0
74DA388FF698,2018-07-13 11:05:25,25.001707,25.001707,31,100,9,0,0,0,0,0,0
74DA388FF69C,2018-07-13 11:01:52,25.084280,25.084280,31.25,85,1,0,0,0,0,0,0
74DA388FF6B0,2018-07-13 11:05:37,25.186792,25.186792,29.25,99,0,0,0,0,0,0,0
74DA388FF6B4,2018-07-13 11:01:53,25.289711,25.289711,31.37,100,0,0,0,0,0,0,0
74DA388FF6B6,2018-07-13 11:05:41,25.178,25.178,32.37,76,0,0,0,0,0,0,0
74DA388FF6B8,2018-07-13 11:00:45,25.269510,25.269510,28.37,100,0,0,0,0,0,0,0
